Instance,Weighted lbs Carbon per CPU ms
aus2s,0.00676
aus3,0.00676
aus36s,0.00676
aus38s,0.00676
aus43,0.00676
aus47,0.00676
aus4s,0.00676
aus5,0.00676
aus58,0.00676
aus60,0.00676
aus62,0.00676
aus64,0.00676
aus66,0.00676
aus68,0.00676
aus6s,0.00676
aus7,0.00676
aus70,0.00676
aus72,0.00676
aus74,0.00676
aus75,0.00676
aus76,0.00676
aus77,0.00676
aus78,0.00676
aus80s,0.00676
aus9,0.00676
usa10s,0.003
usa13,0.003
usa15,0.003
usa17,0.003
usa19,0.003
usa202s,0.003
usa20s,0.003
usa224s,0.003
usa226,0.003
usa228,0.003
usa22s,0.003
usa230,0.003
usa232,0.003
usa234,0.003
usa236,0.003
usa238,0.003
usa24s,0.003
usa26,0.003
usa28s,0.003
usa30s,0.003
usa32s,0.003
usa34,0.003
usa36,0.003
usa59,0.003
usa60s,0.003
usa61,0.003
usa62s,0.003
usa7,0.003
usa8s,0.003
can1,0.00111
can11,0.00111
can17,0.00111
can20s,0.00111
can25,0.00111
can26,0.00111
can27,0.00111
can28,0.00111
can29,0.00111
can2s,0.00111
can34,0.00111
can36,0.00111
can38,0.00111
can40,0.00111
can42,0.00111
can44,0.00111
can46,0.00111
can48,0.00111
can4s,0.00111
can50,0.00111
can52,0.00111
can6s,0.00111
can8s,0.00111
jpn1,0.00433
jpn10s,0.00433
jpn12s,0.00433
jpn132,0.00433
jpn17,0.00433
jpn18s,0.00433
jpn19,0.00433
jpn20s,0.00433
jpn21,0.00433
jpn22s,0.00433
jpn24s,0.00433
jpn28s,0.00433
jpn2s,0.00433
jpn3,0.00433
jpn4s,0.00433
jpn5,0.00433
jpn6s,0.00433
jpn7,0.00433
jpn8s,0.00433
